ticker,pack,scope,strat_pct,bh_pct,alpha_pct,sharpe,max_dd_pct,trades,win_rate
2302,pack_c,S5_ai,-40.52,17.99,-58.51,-1.361,43.18,12,9.1
2302,pack_d,total,-35.2,320.54,-355.74,-0.118,63.71,98,21.6
2302,pack_d,S1_trump1,-23.39,34.63,-58.02,-0.5,42.42,29,10.3
2302,pack_d,S2_late,-1.52,-5.51,3.99,-0.035,11.35,8,25.0
2302,pack_d,S3_covid,12.67,144.37,-131.69,0.435,43.51,20,35.0
2302,pack_d,S4_hike,-11.85,8.85,-20.69,-0.389,20.27,15,20.0
2302,pack_d,S5_ai,-15.03,17.99,-33.02,-0.287,28.54,27,23.1
2302,pack_e,total,-10.6,320.54,-331.13,0.09,60.88,10,22.2
2302,pack_e,S1_trump1,15.5,34.63,-19.13,0.405,41.47,1,100.0
2302,pack_e,S2_late,0.0,-5.51,5.51,inf,,0,
2302,pack_e,S3_covid,-29.17,144.37,-173.53,-0.705,36.9,1,0.0
2302,pack_e,S4_hike,-5.18,8.85,-14.03,-0.305,14.84,1,0.0
2302,pack_e,S5_ai,-11.05,17.99,-29.04,-0.299,24.83,3,0.0
2302,pack_f,total,-39.46,320.54,-360.0,-0.203,52.09,18,44.4
2302,pack_f,S1_trump1,-26.55,34.63,-61.18,-0.712,26.55,5,40.0
2302,pack_f,S2_late,0.0,-5.51,5.51,inf,,0,
2302,pack_f,S3_covid,-30.8,144.37,-175.16,-0.839,32.95,1,0.0
2302,pack_f,S4_hike,-13.42,8.85,-22.27,-0.779,20.73,3,33.3
2302,pack_f,S5_ai,6.75,17.99,-11.24,0.323,11.81,3,66.7
2302,pack_g,total,60.38,320.54,-260.15,0.415,27.75,1,
2302,pack_g,S1_trump1,7.88,34.63,-26.75,0.29,36.93,1,
2302,pack_g,S2_late,-13.65,-5.51,-8.14,-1.063,16.61,1,
2302,pack_g,S3_covid,31.41,144.37,-112.95,0.745,36.32,1,
2302,pack_g,S4_hike,5.22,8.85,-3.63,0.293,19.17,1,
2302,pack_g,S5_ai,9.26,17.99,-8.73,0.341,21.98,1,
2308,pack_a,total,459.04,2033.55,-1574.51,1.438,26.25,17,50.0
2308,pack_a,S1_trump1,-2.98,2.46,-5.44,-0.164,10.85,2,0.0
2308,pack_a,S2_late,0.0,13.78,-13.78,inf,,0,
2308,pack_a,S3_covid,61.7,109.07,-47.37,1.873,20.78,6,60.0
2308,pack_a,S4_hike,-4.24,8.53,-12.77,-0.428,6.68,3,33.3
2308,pack_a,S5_ai,261.95,723.6,-461.65,2.707,16.99,5,75.0
2308,pack_b,total,350.44,2033.55,-1683.11,1.152,27.24,34,42.4
2308,pack_b,S1_trump1,-11.04,2.46,-13.5,-0.562,14.96,6,16.7
2308,pack_b,S2_late,-3.17,13.78,-16.95,-0.324,6.54,2,50.0
2308,pack_b,S3_covid,46.15,109.07,-62.91,1.478,23.13,8,42.9
2308,pack_b,S4_hike,10.72,8.53,2.19,0.629,12.61,6,50.0
2308,pack_b,S5_ai,207.65,723.6,-515.96,2.247,27.24,11,50.0
2308,pack_c,total,342.41,2033.55,-1691.14,1.167,27.24,29,42.9
2308,pack_c,S1_trump1,-9.86,2.46,-12.32,-0.594,14.96,4,25.0
2308,pack_c,S2_late,-3.17,13.78,-16.95,-0.324,6.54,2,50.0
2308,pack_c,S3_covid,46.15,109.07,-62.91,1.478,23.13,8,42.9
2308,pack_c,S4_hike,12.89,8.53,4.36,0.852,8.43,3,66.7
2308,pack_c,S5_ai,207.65,723.6,-515.96,2.247,27.24,11,50.0
2308,pack_d,total,35.05,2033.55,-1998.5,0.336,42.39,101,37.6
2308,pack_d,S1_trump1,-20.23,2.46,-22.69,-1.158,22.79,21,28.6
2308,pack_d,S2_late,-32.47,13.78,-46.25,-3.845,32.91,16,6.2
2308,pack_d,S3_covid,-1.09,109.07,-110.15,0.043,22.84,22,38.1
2308,pack_d,S4_hike,6.57,8.53,-1.95,0.44,12.2,17,41.2
2308,pack_d,S5_ai,88.98,723.6,-634.62,1.599,14.09,24,54.2
2308,pack_e,total,177.77,2033.55,-1855.78,0.871,15.83,4,66.7
2308,pack_e,S1_trump1,0.0,2.46,-2.46,inf,,0,
2308,pack_e,S2_late,0.0,13.78,-13.78,inf,,0,
2308,pack_e,S3_covid,3.25,109.07,-105.81,0.237,15.83,1,100.0
2308,pack_e,S4_hike,0.0,8.53,-8.53,inf,,0,
2308,pack_e,S5_ai,162.47,723.6,-561.14,1.876,14.98,2,100.0
2308,pack_f,total,66.47,2033.55,-1967.08,0.562,24.03,19,68.4
2308,pack_f,S1_trump1,12.83,2.46,10.37,0.966,3.3,3,66.7
2308,pack_f,S2_late,0.0,13.78,-13.78,inf,,0,
2308,pack_f,S3_covid,0.35,109.07,-108.72,0.09,13.89,3,33.3
2308,pack_f,S4_hike,14.93,8.53,6.4,0.823,13.59,5,80.0
2308,pack_f,S5_ai,18.36,723.6,-705.24,0.687,10.91,4,75.0
2308,pack_g,total,718.75,2033.55,-1314.8,1.439,28.11,1,
2308,pack_g,S1_trump1,-6.72,2.46,-9.18,-0.294,19.52,1,
2308,pack_g,S2_late,-3.88,13.78,-17.66,-0.244,11.26,1,
2308,pack_g,S3_covid,29.81,109.07,-79.26,1.065,22.06,1,
2308,pack_g,S4_hike,6.06,8.53,-2.47,0.357,21.14,1,
2308,pack_g,S5_ai,372.25,723.6,-351.35,2.794,21.19,1,
2305,pack_a,total,4.3,151.55,-147.26,0.137,41.7,14,42.9
2305,pack_a,S1_trump1,-9.89,-5.43,-4.45,-0.489,19.23,2,0.0
2305,pack_a,S2_late,0.0,-3.64,3.64,inf,,0,
2305,pack_a,S3_covid,31.8,75.26,-43.46,0.912,18.89,5,75.0
2305,pack_a,S4_hike,-12.68,140.89,-153.56,-0.212,33.33,4,33.3
2305,pack_a,S5_ai,10.47,-33.06,43.53,0.403,15.55,2,50.0
2305,pack_b,total,94.21,151.55,-57.34,0.479,42.57,28,46.4
2305,pack_b,S1_trump1,12.45,-5.43,17.88,0.424,19.23,6,33.3
2305,pack_b,S2_late,-19.37,-3.64,-15.73,-2.189,19.68,4,0.0
2305,pack_b,S3_covid,44.39,75.26,-30.87,0.993,18.89,7,66.7
2305,pack_b,S4_hike,25.25,140.89,-115.63,0.674,37.55,5,50.0
2305,pack_b,S5_ai,30.11,-33.06,63.17,0.663,22.33,5,80.0
2305,pack_c,total,27.12,151.55,-124.44,0.267,39.92,25,44.0
2305,pack_c,S1_trump1,12.45,-5.43,17.88,0.424,19.23,6,33.3
2305,pack_c,S2_late,-19.37,-3.64,-15.73,-2.189,19.68,4,0.0
2305,pack_c,S3_covid,43.17,75.26,-32.09,0.974,18.89,7,66.7
2305,pack_c,S4_hike,-20.62,140.89,-161.51,-1.222,24.09,2,0.0
2305,pack_c,S5_ai,30.11,-33.06,63.17,0.663,22.33,5,80.0
2305,pack_d,total,16.97,151.55,-134.58,0.219,38.33,95,38.9
2305,pack_d,S1_trump1,-8.8,-5.43,-3.36,-0.251,21.55,18,38.9
2305,pack_d,S2_late,-8.58,-3.64,-4.94,-0.665,14.63,10,30.0
2305,pack_d,S3_covid,17.1,75.26,-58.16,0.584,20.87,24,52.2
2305,pack_d,S4_hike,29.89,140.89,-111.0,0.768,32.09,18,33.3
2305,pack_d,S5_ai,-5.07,-33.06,27.98,0.029,30.06,23,34.8
2305,pack_e,total,93.18,151.55,-58.38,0.465,45.34,7,33.3
2305,pack_e,S1_trump1,-16.49,-5.43,-11.06,-0.703,27.99,1,0.0
2305,pack_e,S2_late,0.0,-3.64,3.64,inf,,0,
2305,pack_e,S3_covid,-4.8,75.26,-80.06,-0.057,30.55,2,0.0
2305,pack_e,S4_hike,-18.71,140.89,-159.6,-0.837,25.88,1,0.0
2305,pack_e,S5_ai,19.6,-33.06,52.66,0.543,20.71,1,
2305,pack_f,total,2.89,151.55,-148.66,0.121,41.77,17,43.8
2305,pack_f,S1_trump1,-16.93,-5.43,-11.5,-0.727,29.57,2,0.0
2305,pack_f,S2_late,5.64,-3.64,9.28,1.116,2.08,1,100.0
2305,pack_f,S3_covid,-11.75,75.26,-87.0,-0.723,18.12,3,33.3
2305,pack_f,S4_hike,-18.57,140.89,-159.46,-1.41,19.83,1,0.0
2305,pack_f,S5_ai,17.57,-33.06,50.63,0.626,11.36,2,100.0
2305,pack_g,total,24.97,151.55,-126.58,0.259,54.4,1,
2305,pack_g,S1_trump1,-18.42,-5.43,-12.99,-0.641,29.55,1,
